id,doi,title,year,authors,journal,abstract,provenance_databases,provenance_techniques,provenance_count,decision,decision_reason,screener,decision_date,calibration_set
nct:NCT05739565,,"Title Impact of a Physical Activity Intervention With Motivational Support From Peers for Prostate Cancer Patients - ACTI-PAIR 2 Multicenter, Randomized Stepped-wedge Study",2023,,ClinicalTrials.gov,"Despite the recognized benefits of physical activity in tertiary prevention, 60-70% of prostate cancer patients are insufficiently active.

Yet 150 minutes of brisk walking per week (new WHO recommendations) is associated with a 29% reduction in cancer mortality and a 57% reduction in recurrence.

Increasing patients' adherence to regular physical activity appears to be a new challenge for personalized cancer care.

Personalized physical activity programmes (1) at home, (2) supported by health professionals, or (3) by peers have shown the effectiveness of regular physical activity.

However, these interventions last less than 6 months and do not allow for long-term sustainability of physical activity.

This study proposes to combine 3 interventions, which aim to initiate and maintain regular physical activity in prostate cancer patients:

* 1-The realization of a personalized and realistic physical activity project via physical activity support devices (sport health centers)
* 2-Coaching by a peer (a patient with the same disease who has reached the WHO recommendations for physical activity), who will provide motivational follow-up
* 3-Support by health professionals (attending physician) through the prescription of physical activity.

The feasibility of ACTI-PAIR program has been demonstrated, the investigators now wish to evaluate it effectiveness.",clinicaltrials,anchor-with-range,1,,,marion,,1
nct:NCT05814822,,Targeting Insomnia to Improve Outcomes in Adults With Problematic Cannabis Use,2023,,ClinicalTrials.gov,"This study will compare the efficacy of telemedicine-delivered cognitive behavioral therapy for insomnia tailored for people using cannabis for sleep (CBTi-CB-TM) to telemedicine-delivered sleep hygiene education (SHE-TM) on sleep, cannabis use, and daytime functioning. We will also evaluate the effects of CBTi-CB-TM on fundamental sleep regulatory system - homeostatic sleep drive - and its association with clinical outcomes.",clinicaltrials,regulatory-fit,1,,,marion,,1
openalex:W4386689369,10.56570/jimgs.v2i2.123,Crisis Management skills For International Medical Graduates,2023,"Humaira Shamim, Lakshmi Sai Niharika Janga, Omobolanle A Obajeun, Simhachalam Gurugubelli, Sai Giridhar Gundepalli, Dr.FNU Twinkle",Journal For International Medical Graduates,"Crisis management is based on clarity, commitment, consistency and confidence. Strategy of Crisis intervention involves awareness, promoting compassion and implementing orders. The assessment crisis Intervention trauma model consists of assessing the affected person, establishing a relationship, understanding the problem, providing emotional support, exploring coping strategies, implementing a plan, and following up. The most common personal crisis can be a failure in exam , switching from one profession to the other, financial crisis, changing your native city or country, loss of a loved one, natural disaster or health crisis. Thinking about the crisis as a learning opportunity to become stronger through coping strategies and personal growth.",openalex,commitment-consistency,1,,,marion,,1
openalex:W4387628486,10.1145/3617072.3617108,Analysing the Influence of Loss-Gain Framing on Data Disclosure Behaviour: A Study on the Use Case of App Permission Requests,2023,"Kerstin Bongard-Blanchy, Jean-Louis Sterckx, Arianna Rossi, Anastasia Sergeeva, Vincent Koenig, Salvador Rivas, Verena Distler",,"This paper examines the effect of the dark pattern strategy “loss-gain framing” on users’ data disclosure behaviour in mobile settings. Understanding whether framing influences users’ willingness to disclose personal information is important to (i) determine if and how this technique can subvert consent and other privacy decisions, (ii) prevent abuse with appropriate policies and sanctions, and (iii) provide clear evidence-based guidelines for app privacy engineering. We conducted an online user study (N=848), in which we varied the framing of app permission requests (i.e., positive, negative, or neutral framing) and examined its impact on participants’ willingness to accept the permission, their evaluation of the trustworthiness of the request and their perception of being informed by it. Our findings reveal effects on disclosure behaviour for request types that users cannot easily understand. In this case, negative framing makes users more likely to disclose personal information. Contrary to our expectations, positive framing reduces disclosure rates, possibly because it raises users’ suspicion. We discuss implications for the design of interfaces that aim to facilitate informed, privacy-enhancing decision-making.",openalex,gain-framing,1,,,marion,,1
doi:10.1201/9781003305156-9,10.1201/9781003305156-9,Turid's case studies,2022,"Stephanie Rousseau, Turid Rugaas",How to Raise a Puppy,,crossref,puppy-dog,1,,,marion,,1
openalex:W4210343276,10.1200/jco.21.02170,Breast Cancers Are Immunogenic: Immunologic Analyses and a Phase II Pilot Clinical Trial Using Mutation-Reactive Autologous Lymphocytes,2022,"Nikolaos Zacharakis, Lutfi M. Huq, Samantha J. Seitter, Sanghyun P. Kim, Jared J. Gartner, Sivasish Sindiri, Victoria K. Hill, Yong F. Li, Biman C. Paria, Satyajit Ray, Billel Gasmi, Chyi-chia Lee, Todd D. Prickett, Maria R. Parkhurst, Paul F. Robbins, Michelle M. Langhan, Thomas E. Shelton, Anup Y. Parikh, Shoshana T. Levi, Jonathan M. Hernandez, Chuong D. Hoang, Richard M. Sherry, James C. Yang, Steven A. Feldman, Stephanie L. Goff, Steven A. Rosenberg",Journal of Clinical Oncology,"PURPOSE: Metastatic breast cancer (mBrCa) is most often an incurable disease with only modest responses to available immunotherapies. This study investigates the immunogenicity of somatic mutations in breast cancer and explores the therapeutic efficacy in a pilot trial of mutation-reactive tumor-infiltrating lymphocytes (TILs) in patients with metastatic disease. PATIENTS AND METHODS: Forty-two patients with mBrCa refractory to previous lines of treatment underwent surgical resection of a metastatic lesion(s), isolation of TIL cultures, identification of exomic nonsynonymous tumor mutations, and immunologic screening for neoantigen reactivity. Clinically eligible patients with appropriate reactivity were enrolled into one cohort of an ongoing phase II pilot trial of adoptive cell transfer of selected neoantigen-reactive TIL, with a short course of pembrolizumab (ClinicalTrials.gov identifier: NCT01174121). RESULTS: TILs were isolated and grown in culture from the resected lesions of all 42 patients with mBrCa, and a median number of 112 (range: 6-563) nonsynonymous mutations per patient were identified. Twenty-eight of 42 (67%) patients contained TIL that recognized at least one immunogenic somatic mutation (median: 3 neoantigens per patient, range: 1-11), and 13 patients demonstrated robust reactivity appropriate for adoptive transfer. Eight patients remained clinically eligible for treatment, and six patients were enrolled on a protocol of adoptive cell transfer of enriched neoantigen-specific TIL, in combination with pembrolizumab (≤ 4 doses). Objective tumor regression was noted in three patients, including one complete response (now ongoing over 5.5 years) and two partial responses (6 and 10 months). CONCLUSION: Most patients with breast cancer generated a natural immune response targeting the expressed products of their cancer mutations. Adoptive transfer of TIL is a highly personalized experimental option for patients with mBrCa shown to be capable of mediating objective responses in this pilot trial and deserves further study.",openalex,puppy-dog,1,,,marion,,1
doi:10.4324/9781003183815-5,10.4324/9781003183815-5,A foot in the door,2021,Susan Simon,School Principal Development,,crossref,fitd,1,,,marion,,1
doi:10.1007/978-3-319-52677-5_41-1,10.1007/978-3-319-52677-5_41-1,End of Trial and Close Out of Data Collection,2021,Gillian Booth,Principles and Practice of Clinical Trials,,crossref,trial-close,1,,,marion,,1
openalex:W4283271761,10.2478/boku-2021-0013,Partial budgeting for acquiring and operating a ground-based optical crop sensor for variable rate nitrogen application,2021,"Francisco Medel-Jiménez, Andreas Gronauer, Norbert Barta, Theresa Krexner, Reinhard W. Neugschwandtner, Iris Kral",Die Bodenkultur Journal of Land Management Food and Environment,"Summary Optical crop sensors for variable rate nitrogen application (VRNA) are described as an optimal solution to increase yield while minimizing fertilizer costs, although their operation and acquisition costs could be high. In this study, a partial budgeting approach was used to assess the net income of buying and operating a crop sensor for VRNA for optimizing fertilizer application to winter wheat. Two VRNA scenarios – stimulus, where crops with lower yield expectations received more fertilizer, and compensatory, where crops with higher yield expectations received less fertilizer – were assessed and compared to a conventional way of fertilizer application. Both scenarios showed negative results. The stimulus scenario showed a yearly negative change in income of −227.3 €/ha/year on 25 ha of fertilized area and −38.9 €/ha/year on 250 ha of fertilized area. In the case of the compensatory scenario, a yearly change in income of −271.8 €/ha/year on 25 ha of fertilized area and −83.3 €/ha/year on 250 ha of fertilized area was achieved. Results also showed that bigger farms had lower losses than smaller farms due to the economy of scale. Farmers may opt for sharing or leasing the use of the crop sensor to reduce costs.",openalex,assumptive,1,,,marion,,1
doi:10.5771/1611-5821-2020-6-34,10.5771/1611-5821-2020-6-34,Organspende in Deutschland: Höhere Spenderzahlen mithilfe der Disrupt-Then-Reframe-Technik?,2020,"Marie Roos, Paul Weismann",Gesundheits- und Sozialpolitik,"Um dem Organspendermangel in Deutschland zu begegnen, wurde zuletzt die Einführung der Widerspruchslösung diskutiert. Die zuständigen Behörden nehmen an, dass ein Mensch zur postmortalen Organspende bereit ist, wenn er zu Lebzeiten nicht ausdrücklich widersprochen hat. Die in Deutschland normierte Entscheidungslösung setzt auf eine bewusste, informierte Entscheidung jedes Einzelnen. Anhand der präsentierten Studie wird gezeigt, dass es mithilfe der sozialpsychologischen Disrupt-Then-Reframe-Technik möglich sein könnte, die Entscheidungslösung beizubehalten und dennoch deutlich höhere Spenderzahlen zu erreichen. ",crossref,disrupt-then-reframe,1,,,marion,,1
openalex:W2543036029,10.70252/nfhc6497,"Regulatory Fit: Impact on Anxiety, Arousal, and Performance in College-Level Soccer Players",2020,"Brianna N. Leitzelar, Lindsey C. Blom, Justin P. Guilkey, Jocelyn H. Bolin, Anthony D. Mahon",International journal of exercise science,"Sport performance may be facilitated using regulatory fit, which is a match between individuals' situational strategy and their chronic self-regulatory strategy. However, researchers have not examined the impact of regulatory fit on psychological and physiological components of sport performance, such as anxiety and arousal. Therefore, the purpose of this study was to evaluate the psychophysiological reactions to regulatory fit by examining anxiety, arousal, and sport performance. Female college-level soccer players (n = 25) were randomly assigned to the regulatory match or regulatory mismatch conditions and completed anxiety (Competitive Sport Anxiety Inventory-2R, CSAI-2R) and underwent arousal (heart rate variability, HRV; pre-ejection period, PEP) measures pre- and post-regulatory focus manipulation. Subsequently, participants completed a sport performance task (10 penalty kicks). The impact of regulatory fit on the dependent variables was explored through repeated measures ANOVAs. Results revealed a significant time effect for cognitive anxiety and self-confidence subscales of the CSAI-2R, suggesting the penalty kicking task increased cognitive anxiety and reduced self-confidence in all participants. In addition, there was a significant interaction effect of condition on pre-ejection period (PEP), with a greater increase in PEP for those experiencing regulatory fit compared to those who were not. There were non-significant interaction and main effects for all other variables. Since PEP is an inverse measure of sympathetic (SNS) modulation, experiencing regulatory fit may reduce SNS involvement in the heartbeat. Thus, the current results indicate experiencing regulatory fit may influence arousal prior to athletic competition.",openalex,regulatory-fit,1,,,marion,,1
nct:NCT04201379,,Nonspecific Neck Patients's Quality of Life and Their Predictors,2019,,ClinicalTrials.gov,"Pain, muscle spasm, loss of muscle strength and impaired posture adversely affect the daily life activities and quality of life of neck pain patients.However, the quality of life; It is a multifaceted concept that includes not only the age, sex, marital status, educational status and duration of pain, but also the number of children, BMI, depression, sleep quality, pain-related inadequacy and fatigue. Therefore, considering all these; quality of life; The aim of our study was to determine the factors affecting the quality of life in nonspesific neck patients with the effect that the determinants affecting physical, physical role difficulty, pain, general health, vitality, social function, emotional role difficulty and mental health may be different.",clinicaltrials,extreme-anchor,1,,,marion,,1
doi:10.2307/j.ctvc77m52.40,10.2307/j.ctvc77m52.40,Social Media,2019,,99 Variations on a Proof,,crossref,social-proof,1,,,marion,,1
openalex:W2995146689,10.1016/j.petrol.2019.106820,"Effect of transverse faults on fracture characteristics and borehole instability in the Asmari reservoir of Zagros folded belt zone, Iran",2019,"Yaghoub Jalili, Ali Yassaghi, Mohammad Mahdi Khatib, Alireza Golalzadeh",Journal of Petroleum Science and Engineering,,openalex,ditf,1,,,marion,,1
openalex:W2942839563,10.1017/xps.2018.28,Loss-Framed Arguments Can Stifle Political Activism,2019,"Adam Seth Levine, Reuben Kline",Journal of Experimental Political Science,"Abstract Research commonly finds that citizens are loss averse: they dislike losses far more than similarly sized gains. One implication is that arguments for policy change framed in terms of losses to be avoided often have a larger impact on public opinion than arguments framed in terms of gains to be enjoyed. Although several scholars have observed this pattern with respect to public opinion, we know far less about the effect of loss- and gain-framed arguments on political activism. This is a critical omission given the disproportionate impact of political activists on the policymaking process. Using field and survey experiments, we investigate the impact of gain- and loss-framed arguments on climate change activism. We find that loss-framed arguments can be less mobilizing, even when they are otherwise more persuasive, than gain-framed arguments. Our results deepen our theoretical understanding of what motivates political activism, especially in an era of professionalized politics.",openalex,loss-framing,1,,,marion,,1
s2:356bff6b1b4db12f3fa64121885fca43cc01b344,10.1007/s10853-019-03692-5,Synthesis of g-C3N4/NiO p–n heterojunction materials with ball-flower morphology and enhanced photocatalytic performance for the removal of tetracycline and Cr6+,2019,"Dadao Wang, Jian Li, Zhifeng Xu, Yeran Zhu, Guoxin Chen, Zheng Cui",Journal of Materials Science,,semantic_scholar,lowball,1,,,marion,,1
doi:10.1177/2041419617732353,10.1177/2041419617732353,A concentric tube anchor system for fiber-reinforced polymer retrofit of reinforced concrete structural walls under extreme loads,2018,"David T Lau, Joshua E Woods",International Journal of Protective Structures,"In reinforced concrete elements strengthened with fiber-reinforced polymer sheets, premature debonding of the fiber-reinforced polymer from the concrete substrate occurs due to lack of anchorage, which reduces the efficiency of the retrofitting system. This article reviews several common anchor systems and describes the development, optimization, and testing of a steel tube anchor in retrofit of reinforced concrete structural elements using externally bonded fiber-reinforced polymer sheets suitable for application to improve resistance against extreme load conditions (e.g. blast, impact, or an earthquake). A detailed review of common anchor designs including the proposed tube anchor based on previous studies on flexure-dominated fiber-reinforced polymer-strengthened reinforced concrete shear walls is presented. In this study, finite element analysis is conducted to verify the observed behavior and better understand the deformation mechanisms of the tube anchor. Finite element modeling is then used to evaluate the influence of different design parameters on its performance and propose a design methodology that can be used to optimize the tube anchor design. To verify the performance of the optimized tube anchor, it is tested in an experimental program on the in-plane seismic strengthening of two shear-dominated squat walls strengthened using fiber-reinforced polymer sheets. Experimental results reveal that the optimized tube anchor performs well in preventing premature debonding and allows the fiber-reinforced polymer composite to achieve a higher level of strain when compared to an alternative anchor system. Finally, a set of design steps for the implementation of the tube anchor in fiber-reinforced polymer retrofit applications for reinforced concrete shear walls are presented.",crossref,extreme-anchor,1,,,marion,,1
doi:10.15640/ijgws.v6n1a2,10.15640/ijgws.v6n1a2,"‘I found that joking back actually made me not on edge, and I didn’t feel threatened’: Women’s embodied experiences of sexist humour (banter) in a UK gym.",2018,Amy Clark,International Journal of Gender and Women's Studies,,crossref,feel-felt-found,1,,,marion,,1
nct:NCT04216498,,Describing Relationships Between Psychosocial Outcomes and Readiness for Transition in Adolescent and Young Adult Patients With Juvenile Idiopathic Arthritis - a Pilot Study,2017,,ClinicalTrials.gov,"It is widely acknowledged that the transition from paediatric to adult health services should be a multidimensional and multidisciplinary process that addresses the medical, psychosocial, and educational needs of adolescents and young adults (AYA). Despite this, there is currently a scarcity of research examining the relationships between psychosocial factors (e.g., anxiety, social support) and transition readiness in AYA with juvenile idiopathic arthritis (JIA). This study therefore aimed to examine the relationships between psychosocial factors and transition readiness in pre-transfer adolescents and post-transfer young adults aged 10-25 years diagnosed with JIA at a single centre.

In total, 40 adolescents aged 10-16 years together with a parent/guardian, will take part at Sheffield Children's Hospital and 40 young adults aged 16-25 years will take part at Sheffield Teaching Hospitals. Participants will be asked to complete a battery of self-report questionnaire measuring psychosocial factors (anxiety/depression, social support, family functioning, health-related quality of life) and transition readiness (transition knowledge and skills, self-efficacy). JIA disease severity was also measured during clinic appointments. This study has received full ethical approval, and all participants will give their written informed assent or consent before taking part.

The results from this research will be important in better understanding which psychosocial factors affect how ready young people with JIA feel to move from paediatric to adult rheumatology services. We hope this research will inform further work to help target psychological interventions in this group of patients.",clinicaltrials,scarcity,1,,,marion,,1
nct:NCT03349060,,"A PHASE 3 RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL GROUP, MULTI-CENTER STUDY TO EVALUATE THE EFFICACY AND SAFETY OF PF-04965842 MONOTHERAPY IN SUBJECTS AGED 12 YEARS AND OLDER, WITH MODERATE TO SEVERE ATOPIC DERMATITIS",2017,,ClinicalTrials.gov,"B7451012 is a Phase 3 study to evaluate PF-04965842 in patients aged 12 years and older with a minimum body weight of 40 kg who have moderate to severe atopic dermatitis. The efficacy and safety of two dosage strengths of PF-04965842, 100 mg and 200 mg taken orally once daily, will be evaluated relative to placebo over 12 weeks of study participation. Eligible patients will have an option to enter a long-term extension study after completing 12 weeks of treatment.",clinicaltrials,summary-close,1,,,marion,,1
doi:10.4324/9780203701898-6,10.4324/9780203701898-6,Cultural grammars of accusation,2017,George Pavlich,Criminal Accusation,,crossref,accusation-audit,1,,,marion,,1
openalex:W2582246745,10.1037/xge0000263,A linguistic signature of psychological distancing in emotion regulation.,2017,"Erik C Nook, Jessica L. Schleider, Leah H. Somerville",Journal of Experimental Psychology General,"Effective emotion regulation is critical for mental health and well-being, rendering insight into underlying mechanisms that facilitate this crucial skill invaluable. We combined principles of cognitive linguistics and basic affective science to test whether shifting components of one's language might foster effective emotion regulation. In particular, we explored bidirectional relations between emotion regulation and linguistic signatures of psychological distancing. In Study 1, we assessed whether people spontaneously distance their language (i.e., shift their word use to be less socially and temporally proximate) when regulating emotions. Participants transcribed their thoughts while either passively viewing or actively regulating their emotional responses to negative images. Regulation increased linguistic markers of social and temporal distance, and participants who showed greater linguistic distancing were more successful regulators. Study 2 reversed this relation and investigated whether distancing one's language spontaneously regulated one's emotions. Participants wrote about negative images either using psychologically ""close"" or ""distant"" language in physical, social, and temporal domains. All 3 domains of linguistic distancing spontaneously reduced negative affect. Distancing language also ""bled"" across domains (e.g., temporal distancing spontaneously produced social distancing). This suggests that distancing one's language in 1 domain (e.g., reducing use of present-tense verbs) produces shifts in deep representations of psychological distance that are measurable across domains (e.g., reduced use of the word ""I""). Results extend understanding of language-emotion interactions and reveal novel strategies for reducing negative affect. (PsycINFO Database Record",openalex,concrete-construal,1,,,marion,,1
openalex:W2761099331,10.1038/ngeo3047,Quality matters for water scarcity,2017,"Michelle T. H. van Vliet, Martina Flörke, Yoshihide Wada",Nature Geoscience,,openalex,scarcity,1,,,marion,,1
arxiv:1609.00081v1,,All Fingers are not Equal: Intensity of References in Scientific Articles,2016,"Tanmoy Chakraborty, Ramasuri Narayanam",arXiv,"Research accomplishment is usually measured by considering all citations with equal importance, thus ignoring the wide variety of purposes an article is being cited for. Here, we posit that measuring the intensity of a reference is crucial not only to perceive better understanding of research endeavor, but also to improve the quality of citation-based applications. To this end, we collect a rich annotated dataset with references labeled by the intensity, and propose a novel graph-based semi-supervised model, GraLap to label the intensity of references. Experiments with AAN datasets show a significant improvement compared to the baselines to achieve the true labels of the references (46% better correlation). Finally, we provide four applications to demonstrate how the knowledge of reference intensity leads to design better real-world applications.",arxiv,tna,1,,,marion,,1
nct:NCT02711930,,Effect of Prone Positioning on Intra-ocular Pressure in Patients With Acute Respiratory Distress Syndrome (ARDS),2016,,ClinicalTrials.gov,"Acute respiratory distress syndrome (ARDS) commonly complicates acute illness in intensive care units (ICU). This syndrome is associated with high morbidity and mortality. In management of ARDS patients, lung protective ventilation and prone ventilation are key strategies which have shown survival benefits in recent years and now become standard part of care in these patient. Prone positioning used for surgeries in operation room has been reported with ocular complications, of which vision loss is one of the devastating complications. There is scarcity of literature on effect of prone positioning on intra-ocular pressure (IOP) in critically ill patients. The purpose of our study is to evaluate the effect of prone position on IOP in critically ill patients and follow up for other ocular complication among survivors.",clinicaltrials,scarcity,1,,,marion,,1
doi:10.4324/9781315230078-32,10.4324/9781315230078-32,TAKEAWAY,2016,,Q-Loop,,crossref,takeaway,1,,,marion,,1
openalex:W2512938872,10.1016/j.neuroimage.2016.08.034,I can see where you would be: Patterns of fMRI activity reveal imagined landmarks,2016,"Maddalena Boccia, Valentina Sulpizio, Liana Palermo, Laura Piccardi, Cecilia Guariglia, Gaspare Galati",NeuroImage,,openalex,sharp-angle,1,,,marion,,1
doi:10.14696/jcs.2015.12.15.4.271,10.14696/jcs.2015.12.15.4.271,"A Study on Framing Effect focusing on Empathy as the Mediator : How to influence the relationship between framing on the problem of the aged and the perceived generation gap, the perceived threat and policy acceptability",2015,"Young Ju Lee, Gain Park, Myung Ok Yim",Journal of Communication Science,,crossref,gain-framing,1,,,marion,,1
doi:10.5040/9798765146361,10.5040/9798765146361,Sherlock Holmes Faq,2015,Thompson Dave,,"Sherlock Holmes FAQis a one-stop guide to more than a century's worth of mystery, mayhem, and most of all, deduction. Dave Thompson digs deep inside the manifold worlds of Sherlock Holmes, offering a dramatic and detailed digest of the Baker Street sleuth in all of his many guises, as TV and radio star, movie phenomenon, and, of course, literary giant.",crossref,tna,1,,,marion,,1
doi:10.51644/9781554589302,10.51644/9781554589302,Blocking Public Participation,2014,Byron Sheldrick,,,crossref,silence,1,,,marion,,1
doi:10.1136/bmj.g1817,10.1136/bmj.g1817,Takeaway food and health,2014,K. M. Neckerman,BMJ,,crossref,takeaway,1,,,marion,,1
openalex:W2262963916,10.12794/metadc699841,Resource Utilization of Salespeople and Prospecting Performance,2014,Thuy Nguyen,,"Every day, salespeople span boundaries, coordinate internal and external expertise, leverage social capital, mobilize the tangible and intangible resources of their firm, and try to create value for all stakeholders. Recognizing the important roles of salespeople, Evans et al. (2012) and Lassk et al. (2012) call for more research on the usage of skills, knowledge, people, strategies, expertise, and other resources of salespeople to produce the desired outcomes. Responding to their calls, this study specifically focuses on how salespeople utilize their available and finite resources across four types of customers (new customers, short term customers, long term customers, and win-back customers) to identify and qualify new sales opportunities during the prospecting stage. The dissertation focuses on seven types of resources (capturing both internal and firm related resources) available for salespeople: (1) firm tangible, (2) firm intangible, (3) firm market based, (4) present resources, (5) skills, (6) knowledge, and (7) accumulated successes. The study further explores the moderating roles of organizational identification, competitive intensity, and customer dependence on the relationship between resources utilized and performance during the prospecting stage. The resource utilization scale is developed and tested for robustness. Next, using a final dataset of 346 responses from salespeople, the results reveal that salespeople adaptively utilized various resources across new customers, short-term customers, long-term customers, and win-back (lost) customers. Overall, performance during prospecting stage are more strongly influenced by utilization of internal resources (presence, knowledge, skills and success) than firm related factors. Further, successful prospecting performance requires the usage of skills and knowledge resources with new customers, only skills resources with short-term and long-term customers, but present resources, knowledge, and firm tangible resources with win-back customers. In addition, organizational identification and competitive intensity moderate the relationship between resource utilization and prospecting performance for all customer types, whereas customer dependence is an important moderator for long-term customers. The paper makes several contributions to key areas such as resource allocations in the context of personal selling, and how firms can strategically enhance the performance of their salespeople. Theoretically, the study develops resource utilization scale, and empirically tests its effects on prospecting performance. From a managerial stand point, this dissertation offers additional insights into the effectiveness of each type of resources to plan for selective development of resources, as well as focused sales training.",openalex,feel-felt-found,1,,,marion,,1
openalex:W2078245103,10.1080/10410236.2013.841531,"Effectiveness of Cigarette Warning Labels: Examining the Impact of Graphics, Message Framing, and Temporal Framing",2014,"Xiaoli Nan, Xiaoquan Zhao, Bo Yang, Irina A. Ileş",Health Communication,"This study examines the effectiveness of cigarette warning labels, with a specific focus on the impact of graphics, message framing (gain vs. loss), and temporal framing (present-oriented vs. future-oriented) among nonsmokers in the United States. A controlled experiment (N = 253) revealed that graphic warning labels were perceived as more effective, stronger in argument strength, and were generally liked more compared to text-only labels. In addition, loss-framed labels, compared to their gain-framed counterparts, were rated higher in perceived effectiveness, argument strength, and liking. No significant difference was observed between the present- and future-oriented frames on any of the dependent variables. Implications of the findings for antismoking communication efforts are discussed.",openalex,gain-framing,1,,,marion,,1
doi:10.1037/e505772014-253,10.1037/e505772014-253,The Organization of Concrete and Abstract Concepts: Categorical vs. Associative Relationships,2013,"Jingyi Geng, Tatiana Schnur",PsycEXTRA Dataset,,crossref,concrete-construal,1,,,marion,,1
doi:10.30875/a4b928a3-fr,10.30875/a4b928a3-fr,Panorama 2012,2013,,Rapport Annuel Rapport Annuel 2013,,crossref,liking,1,,,marion,,1
openalex:W2012486712,10.1016/j.envpol.2012.12.021,"Global climate change: Impact of diurnal temperature range on mortality in Guangzhou, China",2013,"Jun Yang, Hua-Zhang Liu, Chun‐Quan Ou, Guo-Zhen Lin, Qin Zhou, Gi-Chuan Shen, Ping-Yan Chen, Yuming Guo",Environmental Pollution,,openalex,disrupt-then-reframe,1,,,marion,,1
openalex:W834214454,,"Synthesis, Characterization, and Application of High Surface Area, Mesoporous, Stabilized Anatase TiO2 Catalyst Supports",2013,Rebecca E. Olsen,ScholarsArchive  (Brigham Young University),"Nanomaterials have attracted substantial attention in the area of catalysis due to the unique properties they exhibit such as high surface areas, intricate pore networks and unique morphologies. TiO2 has attracted attention as a catalyst since the discovery of its high photocatalytic activity by Fuishima and Honda in 1972. Given its high thermal stability, low cost, low environmental impact, and versatility, TiO2 is a widely used commercial catalyst and catalyst support. TiO2 is used in many applications such as photocatalysis is also an excellent support material for noble metals in a number of oxidative synthesis and pollution-control reactions. Though TiO2 is a widely used catalyst support, currently available commercial titanias often have low surface area and poor thermal and hydrothermal stability. While several methods reported in literature produce materials of higher surface area and more ideal porosity relative to commercially available titanias, these procedures generally involve inherent drawbacks including time-consuming, complicated, and expensive processes that are not industrially viable. Cost-effective, large-scale preparations of stable, high surface area, mesoporous TiO2 need to be developed. The work in this dissertation focuses on (1) producing high surface area stabilized TiO2 supports of controlled pore diameters and (2) the preparation of well dispersed Pt on these supports using industrially viable processes. The effects of dopants Al, La, Si, and Zr on the stability, surface area, and porosity of anatase TiO2 supports were investigated. Results show that dopants increased the surface area and thermal stability of anatase through structural modifications and grain growth inhibition. Stabilized titanias produced by this method demonstrated equivalent or higher thermal stability and surface area compared with pure anatase and previously reported materials after treatment at 400°C and 700°C including 22 mol% Al-TiO2 calcined at 400°C which had a surface area of 479 ± 39 m2/g, a pore volume of 0.46 ± 0.04 cm3/g, and a pore diameter of 2.9 ± 0.2 nm. Ten synthesis variables were examined and optimized using statistically designed experiments (DOEs). Equations were developed to predict the conditions to obtain the highest surface area and pore volume at the desired pore diameter and predict the pore diameter range that may be obtained for aluminum-modified anatase TiO2. Confirmation trials closely matched predicted surface areas, pore volumes, and pore diameters in all but one trial, demonstrating the power of DOEs in identifying and controlling synthesis variables in relatively few experiments. The structure of Al-modified anatase TiO2 was analyzed to determine the mechanism of Al stabilization. Surface Al stabilized TiO2 by lowering anatase surface energy, stabilizing planes of high surface energy which would otherwise join to achieve stabilization. Al in TiO2 lattice vacancies stabilized TiO2 through increasing lattice strain and limiting mass transport necessary for grain growth. Results demonstrate the importance of structure analysis of doped nanomaterials in the development of stabilized catalysts and catalyst supports. An industrially viable, one-pot synthesis of Pt supported on 22 mol% Al-modified anatase is presented. Pt dispersions as high as 54% (one-pot method) and 59% (DI method) have been obtained. Results show that this one-pot method and the DI method using our Al-modified supports are promising syntheses of highly dispersed Pt catalysts and demonstrate that the alumina-stabilized anatase support is superior to other many available anatase supports.",openalex,trial-close,1,,,marion,,1
nct:NCT05913076,,"Evaluation of the Effects of Alternating Rapid Maxillary Expansion and Facemask Use in Cases of Class III Malocclusion Caused by Maxillary Retrognathia- A Prospective, Randomized Clinical Trial",2012,,ClinicalTrials.gov,Diverse viewpoints exist regarding the correlation between the conventional rapid maxillary expansion (RME) and facemask approach and the alternative RME and facemask hybrid technique (Alt-RAMEC) in terms of the degree of maxillary protraction. The findings of the study may offer a novel approach to protocol selection based on the anomaly's degree of severity. The objective of this investigation is to assess and contrast the skeletal and dentoalveolar outcomes of three distinct Alt-RAMEC techniques.,clinicaltrials,alternative-choice,1,,,marion,,1
openalex:W2061068657,10.1016/j.jesp.2012.03.013,On the relations between distinct aspects of psychological distance: An ecological basis of construal-level theory,2012,"Klaus Fiedler, Janis Jung, Michaela Wänke, Théodore Alexopoulos",Journal of Experimental Social Psychology,,openalex,concrete-construal,1,,,marion,,1
pmid:22639705,10.5243/jsswr.2012.5,Substance Abuse Treatment Stage and Personal Networks of Women in Substance Abuse Treatment.,2012,"Tracy EM, Kim H, Brown S, Min MO, Jun MK, McCarty C",Journal of the Society for Social Work and Research,,pubmed,reciprocity,1,,,marion,,1
