doi,title,is_oa,oa_url,stage1_included,techniques,already_extracted,extractability_tier,rationale
10.1037/0278-6133.23.3.330,Dispositional Motivations and Message Framing: A Test of the Congruency Hypothesis in College Students.,True,https://www.ncbi.nlm.nih.gov/pmc/articles/2575807,True,gain-framing;loss-framing,True,HIGH,"PubMed Central — clean HTML + JATS XML, atlas-014 + atlas-015 + atlas-036 + atlas-037 all extracted cleanly"
10.1037/0022-3514.86.2.205,Bringing the Frame Into Focus: The Influence of Regulatory Fit on Processing Fluency and Persuasion.,False,,True,loss-framing;regulatory-fit,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1509/jmkr.40.1.54.19133,"Affect, Framing, and Persuasion",False,,True,gain-framing;loss-framing,False,LOW,AMA / Marketing journals — frequently paywalled
10.1111/j.1559-1816.2003.tb02775.x,Need for Cognition Moderates Responses to Framed Smoking‐Cessation Messages<sup>1</sup>,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.2466/pr0.2002.91.1.81,Low-Ball and Compliance to a Request: An Application in a Field Setting,False,,True,lowball,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.1089/109493101753376650,Fund-Raising on the Web: The Effect of an Electronic Foot-in-the-Door on Donation,False,,True,fitd,False,UNKNOWN,DOI prefix 10.1089 not in observed-publisher table
10.1080/10810730150501413,Presenting Risk Information A Review of the Effects of Framing and other Manipulations on Patient Outcomes,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1111/j.1559-1816.2001.tb01407.x,Visual and Auditory Message Framing Effects on Tobacco Smoking<sup>1</sup>,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1037//0022-3514.76.2.192,A disrupt-then-reframe technique of social influence.,False,,True,disrupt-then-reframe,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1207/s15327957pspr0304_2,The Foot-in-the-Door Compliance Procedure: A Multiple-Process Analysis and Review,False,,True,fitd,False,UNKNOWN,DOI prefix 10.1207 not in observed-publisher table
10.1177/0146167299259003,The Systematic Influence of Gain-and Loss-Framed Messages on Interest in and Use of Different Types of Health Behavior,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1006/obhd.1998.2800,Negotiator Risk: Sources of Uncertainty and the Impact of Reference Points on Negotiated Agreements,False,,True,loss-framing,False,UNKNOWN,DOI prefix 10.1006 not in observed-publisher table
10.1037/0033-2909.121.1.3,Shaping perceptions to motivate healthy behavior: The role of message framing.,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1207/s1532768xjepc0703_2,The Effects of Two Sequential-Request Strategies on Teachers' Acceptability and Use of a Classroom Intervention,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1207 not in observed-publisher table
10.1002/(sici)1520-6793(199602)13:2<157::aid-mar3>3.0.co;2-e,Application of compliance techniques to direct-mail requests for charitable donations,False,,True,ditf;lowball,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1177/0146167296223004,Message Framing and Persuasion: A Message Processing Analysis,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1016/0148-2963(93)00038-3,Message framing and buying behavior: A field experiment,False,,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1037//0278-6133.14.2.178,The effects of message framing on mammography utilization.,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1006/obhd.1994.1076,"Effects of Gain-Loss Frames in Negotiation: Loss Aversion, Mismatching, and Frame Adoption",True,https://www.sciencedirect.com/science/article/pii/S0749597884710764,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1006 not in observed-publisher table
10.1177/0146167291173008,The Current Status of Research on Sequential-Request Compliance Techniques,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1080/00224545.1989.9712050,The Influence of Enlightenment on Compliance,False,,True,ditf;lowball,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/00224545.1988.9924559,Differential Perception of Source Legitimacy in Sequential Request Strategies,False,,True,ditf;fitd,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1037//0022-3514.52.3.500,"The effect of message framing on breast self-examination attitudes, intentions, and behavior.",False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1177/0146167286122006,The Role of Source Legitimacy in Sequential Request Strategies of Compliance,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1177/002224378602300206,Effectiveness of Multiple Request Strategies: A Synthesis of Research Results,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1037/0022-3514.51.2.277,Increasing compliance by improving the deal: The that's-not-all technique.,False,,True,ditf;tna,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1111/j.1559-1816.1985.tb00920.x,The Relative Effectiveness of Three Compliance Techniques in Eliciting Donations to a Cultural Organization,False,,True,ditf;lowball,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1177/002224378302000306,Information Availability as a Determinant of Multiple Request Effectiveness,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1037/0022-3514.40.3.492,The low-ball compliance technique: Task or person commitment?,False,,True,lowball,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1177/002224377901600417,More Evidence on Interpersonal Yielding,False,,True,ditf;fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1037//0022-3514.37.4.580,Blood donation and the foot-in-the-door technique: A limiting case.,False,,True,fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/0022-3514.36.5.463,Low-ball procedure for producing compliance: Commitment then cost.,False,,True,lowball,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.2466/pr0.1977.41.3.924,Inducing Compliance via Door-in-the-Face and Legitimization of Paltry Contributions,False,,True,ditf,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.1037/h0076284,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique.,False,,True,ditf;fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/0022-3514.32.5.774,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the f,False,,True,ditf;fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/h0076245,"To comply or not comply: Testing the self-perception explanation of the ""foot-in-the-door"" phenomenon.",False,,True,fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/h0023552,Compliance without pressure: The foot-in-the-door technique.,False,,True,fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
,AI in Debt Collection: Estimating the Psychological Impact on Consumers,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
,4-Arm Randomised Controlled Trial Testing Nostalgia-Based Messages and Step-Monitoring to Promote Walking in Older Adult,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1080/10410236.2026.2614321,"The Congruency Effects of Multiple Components of Persuasion: Target Framing, Gain-Loss Framing, and Regulatory Focus",False,,True,gain-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.63963/001c.154848,"Gain vs. Loss Framing in Rational and Emotional Appeals: Effects on Consumer Attitudes, Reactance, and Brand Choice.",True,https://marketingmanagementjournal.scholasticahq.com/article/154848.pdf,True,gain-framing,False,UNKNOWN,DOI prefix 10.63963 not in observed-publisher table
10.1080/10410236.2026.2656475,Promoting Continued Exercise with Visual Gain Framing: A Replicable Positive-Emotion Pathway and the Conditional Role of,False,,True,gain-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1287/mnsc.2024.05720,The Consequences of Narrow Framing for Risk Taking: A Stress Test of Myopic Loss Aversion,True,https://repository.ubn.ru.nl/bitstream/handle/2066/320246/1/320246.pdf,True,loss-framing,False,UNKNOWN,DOI prefix 10.1287 not in observed-publisher table
10.7222/marketing.2026.008,Regulatory Fit and Regulatory Mode Fit in Marketing Research: マーケティング研究における制御適合，制御モード適合,True,https://www.jstage.jst.go.jp/article/marketing/advpub/0/advpub_2026.008/_pdf,True,regulatory-fit,True,UNKNOWN,DOI prefix 10.7222 not in observed-publisher table
10.3389/fpubh.2026.1718168,Psychological manipulation mechanisms of false fitness and supplement information and public health risks: from informat,True,https://public-pages-files-2025.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2026.1718168/pdf,True,authority,False,HIGH,Frontiers direct
,Luottamus suunnittelun tuloksena: Tekoälyn ja ihmisen tuottamien suositusten vaikutus brändin maineeseen,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
,Bias Beware: The Impact of Cognitive Biases on LLM-Driven Product Recommendations,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1002/nvsm.70005,Is Concrete Framing More Effective in Enticing Donations? The Impacts of Donation Requests and Identified Beneficiary on,False,,True,concrete-construal,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.3390/jtaer20020130,Concrete or Abstract? The Impact of Green Advertising Appeals and Information Framing on Consumer Responses,True,https://www.mdpi.com/0718-1876/20/2/130/pdf?version=1748945020,True,concrete-construal,True,HIGH,MDPI direct
10.1108/ijchm-09-2024-1415,Gain or loss? Unveiling the power of framing in chatbot identity disclosure,False,,True,gain-framing,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.56065/w2gmdv17,Susceptibility to authority figures in advertising with persuasive strategies – age differences in perception,True,https://bi.ue-varna.bg/ojs/index.php/bmc/article/download/132/33,True,authority,False,UNKNOWN,DOI prefix 10.56065 not in observed-publisher table
10.1016/j.chbr.2025.100694,Suspicious minds: Psychological techniques correlated with online phishing attacks,True,https://doi.org/10.1016/j.chbr.2025.100694,True,commitment-consistency,True,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.31234/osf.io/v6rqb_v1,Enhancing Parental Compliance in School Fee Payment through Psychological Framing: A Pilot Evaluation of the Bakwana Com,True,https://osf.io/v6rqb_v1/download,True,commitment-consistency,True,HIGH,OSF preprint server
10.1080/0144929x.2025.2477053,Designing AI to foster acceptance: do freedom to choose and social proof impact AI attitudes among British and Arab popu,True,https://www.tandfonline.com/doi/pdf/10.1080/0144929X.2025.2477053?needAccess=true,True,social-proof,True,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1016/j.jretconser.2025.104502,"Beyond persuasion Knowledge: Examining the roles of visual appeal, visual congruence, and social proof in influencer adv",True,https://doi.org/10.1016/j.jretconser.2025.104502,True,social-proof,True,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1016/j.actpsy.2025.105945,"Trust in AI vs. human doctors: The roles of subjective understanding, perceived epistemic authority and social proof",True,https://doi.org/10.1016/j.actpsy.2025.105945,True,social-proof,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
,Social Proof in Coach Selection 2,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
,Social Proof in Coach Selection,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1145/3613904.3642640,Personalizing Smart Home Privacy Protection With Individuals' Regulatory Focus: Would You Preserve or Enhance Your Infor,True,https://dl.acm.org/doi/pdf/10.1145/3613904.3642640,True,regulatory-fit,True,MEDIUM,ACM — DL behind subscription but arXiv preprints sometimes available; atlas-032 extracted via arXiv preprint
,Gain and Loss Framed Text Messaging to Reduce Drinking Among Older Adults,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1080/21639159.2024.2322932,Utilizing gain and loss message framing for consumers: A Machiavellian perspective,False,,True,gain-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.61173/kj34hm38,Influential Factors of Consumer Preferences for Online Takeaway Ordering,True,https://www.deanfrancispress.com/index.php/fe/article/download/254/FE000332.pdf,True,takeaway,False,UNKNOWN,DOI prefix 10.61173 not in observed-publisher table
10.1016/j.jbusres.2024.114916,The role of psychological distance and construal level in explaining the effectiveness of human-like vs. cartoon-like vi,True,https://doi.org/10.1016/j.jbusres.2024.114916,True,concrete-construal,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/01973533.2024.2425927,Guilt Cues Enhance the Door-on-the-Face Technique,False,,True,ditf,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1016/j.chbah.2024.100061,(Un-)persuasive robots: Exploring the effect of anthropomorphic cues on the foot-in-the-door effect across three experim,True,https://doi.org/10.1016/j.chbah.2024.100061,True,fitd,True,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1002/mar.22016,It is a match! The effect of regulatory fit on new products recommendations,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mar.22016,True,regulatory-fit,True,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1016/j.jretconser.2024.104199,Beyond likes and comments: How social proof influences consumer impulse buying on short-form video platforms,False,,True,social-proof,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/08959420.2024.2347808,Cognitive Reflection and Social Proof: Navigating Complex Tax Incentives for Retirement Savings,False,,True,social-proof,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10810730.2024.2399568,The Effects of Behaviorally Informed Messages on COVID-19 Vaccination Intentions and Behavior: Evidence from Randomized ,False,,True,social-proof,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.3389/fpsyg.2023.1166092,The effect of partitioned framing vs. all-inclusive framing of donation amount on prosocial behavior: focus on the moder,True,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1166092/pdf,True,concrete-construal,True,HIGH,Frontiers direct
10.1080/02650487.2023.2206689,When it pays to be clear: the appeal of concrete communication under uncertainty,True,https://www.tandfonline.com/doi/pdf/10.1080/02650487.2023.2206689?needAccess=true&role=button,True,authority,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1111/sjop.12997,Negative affect related to door‐in‐the‐face strategy,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sjop.12997,True,ditf,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1145/3617072.3617108,Analysing the Influence of Loss-Gain Framing on Data Disclosure Behaviour: A Study on the Use Case of App Permission Req,True,https://dl.acm.org/doi/pdf/10.1145/3617072.3617108,True,gain-framing,False,MEDIUM,ACM — DL behind subscription but arXiv preprints sometimes available; atlas-032 extracted via arXiv preprint
10.1016/j.meatsci.2023.109135,Loss framing effect on reducing excessive red and processed meat consumption: Evidence from Italy,True,https://doi.org/10.1016/j.meatsci.2023.109135,True,loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1108/bfj-08-2023-0676,Does social proof and herd behaviour drive food choices of consumers?,False,,True,social-proof,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.30935/ojcmt/13655,Social proof is ineffective at spurring costly pro-environmental household investments,True,https://www.ojcmt.net/download/social-proof-is-ineffective-at-spurring-costly-pro-environmental-household-investments-13655.pdf,True,social-proof,False,UNKNOWN,DOI prefix 10.30935 not in observed-publisher table
10.1002/cb.2208,The role of dark pattern stimuli and personality in online impulse shopping: An application of <scp>S‐O‐R</scp> theory,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cb.2208,True,social-proof,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.3390/info14090504,Using ChatGPT and Persuasive Technology for Personalized Recommendation Messages in Hotel Upselling,True,https://www.mdpi.com/2078-2489/14/9/504/pdf?version=1694685661,True,social-proof,True,HIGH,MDPI direct
10.1177/00222429231220295,Adoption of New Technology Vaccines,False,,True,social-proof,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
,Foot-in-the-door auctions,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1111/aphw.12382,Applying persuasive messages to reduce public outdoor smoking: A pseudo-randomized controlled trial.,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/aphw.12382,True,reciprocity,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.30658/jicrcr.5.1.1,“I lose” “I gain” vs. “They lose” “They gain”: The Influence of Message Framing on Donation Intentions in Disaster Fundr,True,https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1193&context=jicrcr,True,gain-framing,False,UNKNOWN,DOI prefix 10.30658 not in observed-publisher table
10.20879/acr.2022.19.2.70,The Effects of Gain-Loss Framing and Message Sidedness on GMO Acceptance: The Mediating Role of Psychological Reactance,False,,True,gain-framing,False,UNKNOWN,DOI prefix 10.20879 not in observed-publisher table
10.20879/acr.2022.19.2.37,The Effects of Gain-Loss Framing and Message Sidedness on GMO Acceptance: The Mediating Role of Psychological Reactance,False,,True,gain-framing,False,UNKNOWN,DOI prefix 10.20879 not in observed-publisher table
10.1108/itp-02-2022-0091,"Consumers' purchase intentions in social commerce: the role of social psychological distance, perceived value, and perce",True,https://www.emerald.com/insight/content/doi/10.1108/ITP-02-2022-0091/full/pdf?title=consumers-purchase-intentions-in-social-commerce-the-role-of-social-psychological-distance-perceived-value-and-perceived-cognitive-effort,True,concrete-construal,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.1080/00224545.2022.2043815,When a refusal turns into donation: the moderating effect of the initial position toward blood donation in the door-in-t,False,,True,ditf,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1016/j.dim.2022.100022,Gain-framed product descriptions are more appealing to elderly consumers in live streaming E-commerce: Implications from,True,https://doi.org/10.1016/j.dim.2022.100022,True,gain-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/10410236.2022.2067943,Gain-Loss Framing and Social Distancing: Temporal Framing’s Role as an Emotion Intensifier,False,,True,loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1177/19485506221086176,Preference for Consistency as a Moderator of the Low-Ball Technique,True,https://journals.sagepub.com/doi/pdf/10.1177/19485506221086176,True,lowball,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1002/mar.21736,Using representational and abstract imagery to create regulatory fit effects,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mar.21736,True,regulatory-fit,True,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1016/j.jretai.2022.06.003,Scarcity tactics in marketing: A meta-analysis of product scarcity effects on consumer purchase intentions,True,https://doi.org/10.1016/j.jretai.2022.06.003,True,scarcity,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1002/cb.2088,“Pulling back the curtain”: Company tours as a customer education tool and effects on pro‐brand behaviors,False,,True,takeaway,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.3389/fpsyg.2022.859959,A Matching Study on the Influence of Advertised Information Expression and Product Type on Consumer Purchase Intention.,True,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.859959/pdf,True,extreme-anchor,True,HIGH,Frontiers direct
10.3389/fpsyg.2022.794135,An Experimental Study on Anchoring Effect of Consumers' Price Judgment Based on Consumers' Experiencing Scenes.,True,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.794135/pdf,True,extreme-anchor,True,HIGH,Frontiers direct
10.1111/bjso.12469,I'll scratch your back if you give me a compliment: Exploring psychological mechanisms underlying compliments' effects o,False,,True,reciprocity,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
,Improving Adherence to COVID-19 Prevention Behaviours: Test of Persuasive Messages,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1093/ijpor/edab027,The Effect of Gain-versus-Loss Framing of Economic and Health Prospects of Different COVID-19 Interventions: An Experime,True,https://academic.oup.com/ijpor/article-pdf/33/4/927/41722763/edab027.pdf,True,gain-framing,False,UNKNOWN,DOI prefix 10.1093 not in observed-publisher table
10.5772/intechopen.95779,Gain or Loss? The Effect of Ad Framing on the Intention to Control Sugar Intake,True,https://www.intechopen.com/citation-pdf-url/74747,True,gain-framing,False,UNKNOWN,DOI prefix 10.5772 not in observed-publisher table
10.15830/kjm.2021.36.4.1,The Effect of Price Discount Framing on Purchase Intention: Loss Frame and Gain Frame,False,,True,gain-framing,False,UNKNOWN,DOI prefix 10.15830 not in observed-publisher table
,It’s selling like hotcakes: deconstructing social media influencer marketing in long-form video content on youtube via s,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1080/02650487.2021.1982529,AI-powered recommendations: the roles of perceived similarity and psychological distance on persuasion,False,,True,concrete-construal,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/13527266.2021.1969588,Should businesses take a stand? Effects of perceived psychological distance on consumers’ expectation and evaluation of ,False,,True,concrete-construal,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1002/smj.3341,A foot in the door: Field experiments on entrepreneurs' network activation strategies for investor referrals,False,,True,fitd,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.3390/ijerph18189485,Persuasive Effects of Message Framing and Narrative Format on Promoting COVID-19 Vaccination: A Study on Chinese College,True,https://www.mdpi.com/1660-4601/18/18/9485/pdf?version=1631581252,True,gain-framing,True,HIGH,MDPI direct
10.1080/00913367.2021.1925605,"Promoting Mask-Wearing in COVID-19 Brand Communications: Effects of Gain-Loss Frames, Self- or Other-Interest Appeals, a",False,,True,gain-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.2196/27634,"Effects of Message Framing on Cancer Prevention and Detection Behaviors, Intentions, and Attitudes: Systematic Review an",True,https://www.jmir.org/2021/9/e27634/PDF,True,gain-framing,False,UNKNOWN,DOI prefix 10.2196 not in observed-publisher table
10.1080/15205436.2020.1870144,Prospect Theory in Times of a Pandemic: The Effects of Gain versus Loss Framing on Risky Choices and Emotional Responses,True,https://www.tandfonline.com/doi/epdf/10.1080/15205436.2020.1870144?needAccess=true&role=button,True,loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1177/10755470211048192,"Promoting COVID-19 Vaccination: The Interplay of Message Framing, Psychological Uncertainty, and Public Agency as a Mess",True,https://journals.sagepub.com/doi/pdf/10.1177/10755470211048192,True,loss-framing,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1108/jcm-05-2020-3843,To forgive or retaliate? How regulatory fit affects emotional reactions and repurchase decisions following product failu,True,https://pure.bond.edu.au/ws/files/84609130/AM_To_Forgive_or_Retaliate.pdf,True,regulatory-fit,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.1108/jsm-06-2020-0236,Exploring regulatory fit between service relationships and appeals in co-production,True,https://hdl.handle.net/2164/16901,True,regulatory-fit,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.1002/cb.2004,Outcome presence and regulatory fit: Competing explanations for the advantage of gains and losses over non‐gains and non,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cb.2004,True,regulatory-fit,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1080/13527266.2021.1936126,Modeling the Factors affecting Online Purchase Intention: The Mediating Effect of Consumer’s Attitude towards User- Gene,False,,True,social-proof,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1016/j.erap.2021.100654,Does “chaining” always work towards compliance gaining? The case of the “but you are free” technique and social proof ap,False,,True,social-proof,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1177/00222437211025054,The Effect of Slow Motion Video on Consumer Inference,False,,True,social-proof,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1080/02650487.2021.1982530,"How do consumers choose to click ‘like’ on luxury ads in social media? Role of envy, number of likes, and culture",False,,True,social-proof,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
,Testing Multiple Behavioral Science Strategies to Increase Flu-Shot Rates at a Large Retail Pharmacy,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
,Where persuasion and culture meet : The cultural influence between Turkish and Dutch consumers in the effectiveness of p,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
